iter	Passed	Remaining
674	21798	10495
675	21851	10473
676	21907	10451
677	21939	10419
678	21976	10389
679	22020	10362
680	22066	10336
681	22103	10306
682	22136	10274
683	22169	10241
684	22205	10211
685	22249	10183
686	22273	10148
687	22317	10120
688	22340	10083
689	22379	10054
690	22403	10018
691	22428	9982
692	22451	9946
693	22478	9911
694	22504	9876
695	22528	9839
696	22553	9804
697	22578	9768
698	22604	9733
699	22631	9699
700	22653	9662
701	22687	9630
702	22718	9597
703	22743	9562
704	22781	9532
705	22809	9498
706	22834	9463
707	22864	9430
708	22897	9397
709	22921	9362
710	22947	9327
711	22970	9291
712	22995	9256
713	23018	9220
714	23053	9189
715	23086	9157
716	23117	9124
717	23159	9096
718	23196	9065
719	23226	9032
720	23259	9000
721	23291	8968
722	23323	8935
723	23352	8902
724	23386	8870
725	23416	8837
726	23453	8807
727	23482	8773
728	23520	8743
729	23554	8711
730	23577	8676
731	23603	8641
732	23627	8606
733	23651	8571
734	23689	8541
735	23717	8507
736	23740	8471
737	23782	8443
738	23814	8410
739	23842	8377
740	23873	8344
741	23910	8313
742	23941	8281
743	23980	8251
744	24016	8220
745	24049	8188
746	24083	8156
747	24117	8125
748	24149	8092
749	24178	8059
750	24207	8026
751	24243	7995
752	24279	7964
753	24306	7930
754	24330	7895
755	24355	7860
756	24384	7827
757	24420	7796
758	24454	7764
759	24493	7734
760	24511	7698
761	24539	7664
762	24567	7630
763	24601	7599
764	24634	7567
765	24667	7535
766	24690	7500
767	24716	7466
768	24748	7434
769	24774	7400
770	24806	7367
771	24833	7334
772	24862	7301
773	24883	7265
774	24908	7231
775	24932	7197
776	24973	7167
777	25004	7134
778	25039	7103
779	25064	7069
780	25093	7036
781	25126	7004
782	25162	6973
783	25193	6941
784	25218	6906
785	25245	6873
786	25272	6839
787	25308	6808
788	25334	6775
789	25360	6741
790	25387	6707
791	25415	6674
792	25445	6642
793	25474	6609
794	25505	6576
795	25531	6543
796	25567	6512
797	25595	6479
798	25629	6447
799	25654	6413
800	25690	6382
801	25721	6350
802	25746	6316
803	25779	6284
804	25821	6254
805	25849	6221
806	25885	6190
807	25921	6159
808	25951	6126
809	25986	6095
810	26014	6062
811	26044	6030
812	26072	5996
813	26101	5964
814	26134	5932
815	26182	5903
816	26219	5872
817	26254	5841
818	26287	5809
819	26317	5776
820	26344	5743
821	26390	5714
822	26424	5682
823	26462	5652
824	26511	5623
825	26551	5593
826	26601	5564
827	26650	5536
828	26693	5506
829	26729	5474
830	26771	5444
831	26829	5417
832	26870	5387
833	26912	5356
834	26962	5327
835	27011	5298
836	27058	5269
837	27089	5236
838	27131	5206
839	27164	5174
840	27202	5142
841	27243	5112
842	27287	5082
843	27329	5051
844	27362	5019
845	27407	4989
846	27452	4959
847	27489	4927
848	27536	4897
849	27574	4866
850	27615	4835
851	27645	4802
852	27678	4769
853	27715	4738
854	27759	4707
855	27789	4674
856	27839	4645
857	27872	4612
858	27902	4580
859	27940	4548
860	27972	4515
861	28001	4482
862	28045	4452
863	28091	4421
864	28143	4392
865	28185	4361
866	28223	4329
867	28258	4297
868	28295	4265
869	28329	4233
870	28360	4200
871	28391	4167
872	28422	4134
873	28461	4103
874	28497	4071
875	28534	4039
876	28568	4006
877	28610	3975
878	28644	3943
879	28674	3910
880	28716	3878
881	28752	3846
882	28796	3815
883	28835	3783
884	28874	3752
885	28922	3721
886	28967	3690
887	29006	3658
888	29052	3627
889	29096	3596
890	29139	3564
891	29177	3532
892	29210	3500
893	29249	3468
894	29285	3435
895	29321	3403
896	29355	3370
897	29387	3337
898	29420	3305
899	29451	3272
900	29488	3240
